user_name	user_id	friend_count	follower_count	status_count	favorite_count	account_age	user_location	geocode
herouxAT	100441873	117	57	455	0	30 Dec 2009 08:03:31 GMT	Indianapolis, IN	"{ ""formatted_address"" : ""Indianapolis, IN, USA"", ""location"" : { ""lat"" : 39.768403, ""lng"" : -86.158068 } }"
Liffick	100557494	81	15	12	0	30 Dec 2009 18:00:06 GMT	Indianapolis	"{ ""formatted_address"" : ""Indianapolis, IN, USA"", ""location"" : { ""lat"" : 39.768403, ""lng"" : -86.158068 } }"
RealDubbDugan	100905977	430	632	16245	0	1 Jan 2010 04:58:03 GMT	Ohio Tennessee	"{ ""formatted_address"" : ""Tennessee St, Chandler, IN 47610, USA"", ""location"" : { ""lat"" : 38.038805, ""lng"" : -87.37641619999999 } }"
babytigger616	101035771	153	35	1674	0	1 Jan 2010 18:58:46 GMT	Fort Wayne, Indiana	"{ ""formatted_address"" : ""Fort Wayne, IN, USA"", ""location"" : { ""lat"" : 41.079273, ""lng"" : -85.1393513 } }"
TMKelly	101053971	45	79	2017	0	1 Jan 2010 20:39:39 GMT	Muncie, IN	"{ ""formatted_address"" : ""Muncie, IN, USA"", ""location"" : { ""lat"" : 40.1933767, ""lng"" : -85.3863599 } }"
andrewkunz	101063335	497	127	3069	0	1 Jan 2010 21:32:25 GMT	Avon, Indiana	"{ ""formatted_address"" : ""Avon, IN, USA"", ""location"" : { ""lat"" : 39.7628227, ""lng"" : -86.3997167 } }"
KaiLizabeth	101584408	273	242	943	0	3 Jan 2010 22:06:14 GMT	Indianapolis,IN	"{ ""formatted_address"" : ""Indianapolis, IN, USA"", ""location"" : { ""lat"" : 39.768403, ""lng"" : -86.158068 } }"
yaboydcurr	101685145	153	152	4041	0	4 Jan 2010 06:53:17 GMT	Hoosierland	"{ ""formatted_address"" : ""Hoosier Land Park, 2641 E 1300 N, Summitville, IN 46070, USA"", ""location"" : { ""lat"" : 40.2903311, ""lng"" : -85.62239079999999 } }"
alexlbridges	101814694	111	66	306	0	4 Jan 2010 17:26:10 GMT	West Lafayette, IN	"{ ""formatted_address"" : ""West Lafayette, IN, USA"", ""location"" : { ""lat"" : 40.4258686, ""lng"" : -86.90806549999999 } }"
kfuja	10193222	226	210	3784	0	12 Nov 2007 20:42:51 GMT	South Bend, IN	"{ ""formatted_address"" : ""South Bend, IN, USA"", ""location"" : { ""lat"" : 41.6763545, ""lng"" : -86.25198979999999 } }"
